Date,Price,Open,High,Low,Vol.,Change %,change
03/23/2023,"15,625.08","15,253.22","15,625.08","15,200.37",81.93M,2.44%,Positive
03/22/2023,"15,253.22","15,325.66","15,488.01","15,153.58",95.82M,-0.47%,Negative
03/21/2023,"15,325.66","14,923.81","15,403.92","14,923.81",113.66M,2.69%,Positive
03/20/2023,"14,923.81","14,681.12","15,165.46","14,662.13",127.14M,1.65%,Positive
03/19/2023,"14,681.12","14,704.18","14,780.86","14,425.82",70.29M,-0.16%,Negative
03/16/2023,"14,704.18","14,724.44","15,052.08","14,611.93",180.99M,-0.14%,Negative
03/15/2023,"14,724.44","15,362.25","15,703.89","14,724.44",141.35M,-4.15%,Negative
03/14/2023,"15,362.25","15,438.50","15,506.19","15,281.67",101.43M,-0.49%,Negative
03/13/2023,"15,438.50","15,936.89","16,089.26","15,275.09",157.60M,-3.13%,Negative
03/12/2023,"15,936.89","16,454.31","16,468.36","15,936.89",108.62M,-3.14%,Negative
03/09/2023,"16,454.31","16,315.62","16,555.99","16,283.78",88.38M,0.85%,Positive
03/08/2023,"16,315.62","16,432.56","16,532.41","16,226.61",103.54M,-0.71%,Negative
03/07/2023,"16,432.56","16,803.89","16,872.05","16,400.79",99.50M,-2.21%,Negative
03/06/2023,"16,803.89","16,827.65","17,057.02","16,803.89",99.85M,-0.14%,Negative
03/05/2023,"16,827.65","16,846.79","16,929.88","16,713.66",83.04M,-0.11%,Negative
03/02/2023,"16,846.79","17,123.01","17,183.44","16,846.79",117.14M,-1.61%,Negative
03/01/2023,"17,123.01","17,002.08","17,128.75","16,976.78",166.10M,0.71%,Positive
02/28/2023,"17,002.08","17,098.16","17,162.15","16,936.69",171.60M,-0.56%,Negative
02/27/2023,"17,098.16","17,213.01","17,359.92","17,098.16",162.68M,-0.67%,Negative
02/26/2023,"17,213.01","17,003.90","17,295.46","16,992.99",93.69M,1.23%,Positive
02/23/2023,"17,003.90","16,777.20","17,003.90","16,733.06",106.95M,1.35%,Positive
02/22/2023,"16,777.20","17,039.45","17,103.05","16,672.92",122.02M,-1.54%,Negative
02/21/2023,"17,039.45","16,814.00","17,046.37","16,714.32",117.01M,1.34%,Positive
02/20/2023,"16,814.00","17,326.61","17,404.04","16,798.65",133.24M,-2.96%,Negative
02/19/2023,"17,326.61","17,488.87","17,621.00","17,326.61",143.77M,-0.93%,Negative
02/16/2023,"17,488.87","17,522.56","17,724.83","17,488.87",201.21M,-0.19%,Negative
02/15/2023,"17,522.56","17,430.98","17,657.23","17,418.80",224.30M,0.53%,Positive
02/14/2023,"17,430.98","17,214.56","17,438.58","17,214.56",251.52M,1.26%,Positive
02/13/2023,"17,214.56","17,287.09","17,450.50","17,113.22",127.84M,-0.42%,Negative
02/12/2023,"17,287.09","17,613.78","17,613.78","17,198.46",150.29M,-1.85%,Negative
02/09/2023,"17,613.78","16,948.08","17,613.78","16,948.08",180.36M,3.93%,Positive
02/08/2023,"16,948.08","16,900.43","17,081.29","16,669.04",155.68M,0.28%,Positive
02/07/2023,"16,900.43","16,587.06","16,960.30","16,587.06",184.01M,1.89%,Positive
02/06/2023,"16,587.06","16,265.92","16,587.06","16,265.92",140.88M,1.97%,Positive
02/05/2023,"16,265.92","16,255.73","16,266.98","15,748.55",169.11M,0.06%,Positive
02/02/2023,"16,255.73","16,407.79","16,615.32","16,198.90",169.11M,-0.93%,Negative
02/01/2023,"16,407.79","16,446.38","16,610.08","16,282.46",146.90M,-0.23%,Negative
